institution_id,institution_name,total_courses,total_reviews,average_rating
240,"Technical University of Munich (TUM),  EIT Urban Mobility",3,84,4.8
241,Technion - Israel Institute of Technology,33,14115,4.6
242,Tecnológico de Monterrey,216,57210,4.7
243,"Tecnológico de Monterrey, University of California, Irvine",3,12930,4.7
244,Tel Aviv University,33,28278,4.8
245,"Tel Aviv University, Yad Vashem ",6,6006,4.8
246,The Chinese University of Hong Kong,51,8727,4.8
247,The George Washington University,12,13146,4.8
248,The Hong Kong University of Science and Technology,186,169959,4.7
249,The Linux Foundation,3,6513,4.6
250,The Museum of Modern Art,39,71082,4.8
251,The Pennsylvania State University,21,23805,4.8
252,The State University of New York,153,74136,4.5
253,"The State University of New York, University at Buffalo",24,62643,4.6
254,The University of Chicago,33,34536,4.9
255,The University of Edinburgh,156,230601,4.7
256,"The University of Edinburgh, British Council, Learning for Sustainability Scotland",12,1290,4.7
257,"The University of Edinburgh, Universidad ORT Uruguay",9,29961,4.7
258,The University of Hong Kong,27,20826,4.8
259,"The University of Hong Kong, The State University of New York",3,681,4.8
260,The University of Melbourne,33,16809,4.8
261,The University of North Carolina at Chapel Hill,27,56844,4.7
262,"The University of North Carolina at Chapel Hill, The University of Edinburgh",6,4026,4.7
263,The University of Notre Dame,12,204,4.9
264,The University of Sydney,117,157401,4.8
265,The University of Tokyo,21,21159,4.7
266,The World Bank Group,15,6330,4.7
267,Tsinghua University,9,3306,4.3
268,Tufts University,3,48,4.9
269,UBITS,12,3999,4.8
270,UNSW Sydney (The University of New South Wales),24,24276,4.7
271,"UNSW Sydney (The University of New South Wales), IEEE Geoscience and Remote Sensing Society",9,1215,4.7
272,USO,3,33,4.2
273,UiPath,12,2190,4.7
274,"United Cities and Local Governments of Africa, African Local Government Academy, Erasmus University Rotterdam, Institute for Housing and Urban Development ",9,882,4.7
275,Universidad Austral,84,65469,4.7
276,Universidad Autónoma Metropolitana,18,471,4.5
277,Universidad Nacional Autónoma de México,324,337530,4.8
278,Universidad Nacional de Colombia,27,1815,4.9
279,"Universidad ORT Uruguay, The University of Edinburgh",3,7503,4.8
280,Universidad de Chile,42,35178,4.8
281,Universidad de Palermo,108,21093,4.8
282,"Universidad de Palermo, Parsons School of Design, The New School",3,45,4.5
283,Universidad de los Andes,198,120762,4.8
284,Universidade Estadual de Campinas,36,24474,4.9
285,Universidade de São Paulo,57,94158,4.9
286,"Universidade de São Paulo, University of California, Irvine",3,2781,4.9
287,Universidades Anáhuac,21,0,
288,Universitat Autònoma de Barcelona,210,137616,4.7
289,Universitat de Barcelona,42,15003,4.7
290,"Universitat de Barcelona, Fundació Navegació Oceànica Barcelona",18,3993,4.6
291,Universiteit Leiden,93,40164,4.8
292,"Universiteit Leiden, Kalshoven-Gieskes Forum",9,14895,4.8
293,"Universiteit Leiden, LDE Centre for Safety and Security",3,594,4.7
294,"Universiteit Leiden, Leiden University Medical Center",6,2406,4.8
295,"Universiteit Leiden, Meertens instituut (KNAW)",9,21150,4.7
296,"Universiteit Leiden, Naturalis Biodiversity Center",3,495,4.6
297,"Universiteit Leiden, University of the Arts The Hague",6,402,4.6
298,University System of Georgia,117,142314,4.7
299,University at Buffalo,18,7962,4.7
300,"University at Buffalo, The State University of New York",66,186834,4.6
301,University of Alberta,117,312858,4.7
302,"University of Alberta, Alberta Machine Intelligence Institute",33,53085,4.8
303,"University of Alberta, UiT The Arctic University of Norway",3,51,4.2
304,University of Amsterdam,93,172263,4.7
305,"University of Amsterdam,  EIT Urban Mobility",9,501,4.7
306,"University of Amsterdam, Enviolo",3,0,
307,"University of Amsterdam, Utrecht University",6,972,4.6
308,University of Arizona,27,46479,4.8
309,"University of Arizona, University of Florida, Drexel University",3,57,4.6
310,University of California San Diego,303,700413,4.6
311,"University of California San Diego, Duke University",9,34488,4.6
312,"University of California, Davis",303,731616,4.6
313,"University of California, Irvine",360,745893,4.7
